SEASON,RK,NAME,TEAM,SALARY
2002-2003,14,"Antoine Walker, PF",Boston Celtics,12375000
2002-2003,81,"Eric Williams, PF",Boston Celtics,5004000
2002-2003,114,"Tony Battie, C",Boston Celtics,4e+06
2002-2003,147,"Mikki Moore, C",Boston Celtics,2813000
2002-2003,148,"Paul Pierce, SF",Boston Celtics,2793000
2002-2003,195,"Kedrick Brown, SG",Boston Celtics,1643000
2003-2004,142,"Jumaine Jones, SF",Boston Celtics,2104000
2004-2005,8,"Antoine Walker, PF",Boston Celtics,14625000
2005-2006,34,"Raef LaFrentz, C",Boston Celtics,10623288
2005-2006,202,"Brian Scalabrine, PF",Boston Celtics,2586207
2005-2006,220,"Dan Dickau, PG",Boston Celtics,2255350
2005-2006,266,"Al Jefferson, C",Boston Celtics,1512840
2005-2006,278,"Gerald Green, SF",Boston Celtics,1253040
2005-2006,306,"Delonte West, SG",Boston Celtics,1010040
2005-2006,311,"Tony Allen, SG",Boston Celtics,969600
2005-2006,316,"Kendrick Perkins, C",Boston Celtics,936480
2005-2006,376,"Ryan Gomes, SF",Boston Celtics,428762
2005-2006,381,"Orien Greene, PG",Boston Celtics,398762
2006-2007,30,"Wally Szczerbiak, SG",Boston Celtics,11775000
2006-2007,31,"Theo Ratliff, C",Boston Celtics,11666666
2006-2007,198,"Brian Scalabrine, PF",Boston Celtics,2793103
2006-2007,259,"Sebastian Telfair, PG",Boston Celtics,1793160
2006-2007,267,"Kendrick Perkins, C",Boston Celtics,1689410
2006-2007,274,"Al Jefferson, C",Boston Celtics,1618320
2006-2007,294,"Gerald Green, SF",Boston Celtics,1347000
2006-2007,310,"Rajon Rondo, PG",Boston Celtics,1143600
2006-2007,314,"Delonte West, SG",Boston Celtics,1080480
2006-2007,319,"Tony Allen, SG",Boston Celtics,1037280
2006-2007,373,"Ryan Gomes, SF",Boston Celtics,664209
2006-2007,380,"Leon Powe, PF",Boston Celtics,432000
2007-2008,1,"Kevin Garnett, PF",Boston Celtics,23751934
2007-2008,12,"Paul Pierce, SF",Boston Celtics,16360094
2007-2008,14,"Ray Allen, SG",Boston Celtics,1.6e+07
2007-2008,140,"Kendrick Perkins, C",Boston Celtics,4480912
2007-2008,186,"James Posey, SF",Boston Celtics,3206000
2007-2008,198,"Brian Scalabrine, PF",Boston Celtics,3e+06
2007-2008,258,"Tony Allen, SG",Boston Celtics,1868141
2007-2008,289,"Eddie House, SG",Boston Celtics,1500000
2007-2008,303,"Rajon Rondo, PG",Boston Celtics,1229280
2007-2008,365,"Leon Powe, PF",Boston Celtics,687456
2007-2008,372,"Gabe Pruitt, PG",Boston Celtics,650000
2007-2008,396,"P.J. Brown, PF",Boston Celtics,226650
2008-2009,1,"Kevin Garnett, PF",Boston Celtics,24751934
2008-2009,7,"Stephon Marbury, PG",Boston Celtics,20840625
2008-2009,10,"Ray Allen, SG",Boston Celtics,18388430
2008-2009,12,"Paul Pierce, SF",Boston Celtics,18077903
2008-2009,152,"Kendrick Perkins, C",Boston Celtics,4578880
2008-2009,203,"Brian Scalabrine, PF",Boston Celtics,3206897
2008-2009,223,"Eddie House, SG",Boston Celtics,2650000
2008-2009,233,"Tony Allen, SG",Boston Celtics,2500000
2008-2009,307,"Rajon Rondo, PG",Boston Celtics,1315080
2008-2009,342,"J.R. Giddens, SG",Boston Celtics,957120
2008-2009,359,"Leon Powe, PF",Boston Celtics,797581
2008-2009,389,"Henry Walker, SF",Boston Celtics,542114
2009-2010,7,"Paul Pierce, SF",Boston Celtics,19795712
2009-2010,8,"Ray Allen, SG",Boston Celtics,18776860
2009-2010,13,"Kevin Garnett, PF",Boston Celtics,16417044
2009-2010,122,"Rasheed Wallace, PF",Boston Celtics,5854000
2009-2010,156,"Kendrick Perkins, C",Boston Celtics,4500000
2009-2010,195,"Brian Scalabrine, PF",Boston Celtics,3413793
2009-2010,204,"Glen Davis, PF",Boston Celtics,3000004
2009-2010,229,"Tony Allen, SG",Boston Celtics,2500000
2009-2010,249,"Rajon Rondo, PG",Boston Celtics,2094923
2009-2010,262,"Marquis Daniels, SG",Boston Celtics,1990000
2009-2010,421,"Rob Kurz, SF",Boston Celtics,25991
2009-2010,426,"Oliver Lafayette, G",Boston Celtics,2692
2010-2011,4,"Kevin Garnett, PF",Boston Celtics,18832044
2010-2011,27,"Paul Pierce, SF",Boston Celtics,13876321
2010-2011,62,"Ray Allen, SG",Boston Celtics,1e+07
2010-2011,69,"Rajon Rondo, PG",Boston Celtics,9090911
2010-2011,206,"Glen Davis, PF",Boston Celtics,3000004
2010-2011,230,"Marquis Daniels, SG",Boston Celtics,2388000
2010-2011,280,"Sean Williams, PF",Boston Celtics,1629120
2010-2011,292,"Avery Bradley, PG",Boston Celtics,1418160
2010-2011,302,"Shaquille O'Neal, C",Boston Celtics,1352181
2010-2011,368,"Gabe Pruitt, PG",Boston Celtics,825497
2010-2011,381,"Jonas Jerebko, PF",Boston Celtics,762195
2011-2012,2,"Kevin Garnett, PF",Boston Celtics,21247044
2011-2012,19,"Paul Pierce, SF",Boston Celtics,15333334
2011-2012,55,"Rajon Rondo, PG",Boston Celtics,10045454
2011-2012,57,"Ray Allen, SG",Boston Celtics,1e+07
2011-2012,113,"Jermaine O'Neal, C",Boston Celtics,6226200
2011-2012,162,"Brandon Bass, PF",Boston Celtics,4250000
2011-2012,220,"Chris Wilcox, PF",Boston Celtics,3e+06
2011-2012,255,"Keyon Dooling, PG",Boston Celtics,2246400
2011-2012,301,"Avery Bradley, PG",Boston Celtics,1524480
2011-2012,319,"Shaquille O'Neal, C",Boston Celtics,1352181
2011-2012,354,"JaJuan Johnson, PF",Boston Celtics,1042320
2011-2012,395,"Gabe Pruitt, PG",Boston Celtics,825497
2011-2012,416,"Greg Stiemsma, C",Boston Celtics,762195
2011-2012,482,"Carlos Arroyo, PG",Boston Celtics,196007
2012-2013,15,"Paul Pierce, SF",Boston Celtics,16790345
2012-2013,42,"Kevin Garnett, PF",Boston Celtics,11566265
2012-2013,45,"Rajon Rondo, PG",Boston Celtics,1.1e+07
2012-2013,70,"Jeff Green, SF",Boston Celtics,8385000
2012-2013,112,"Brandon Bass, PF",Boston Celtics,6e+06
2012-2013,134,"Courtney Lee, SG",Boston Celtics,5e+06
2012-2013,171,"Ryan Gomes, SF",Boston Celtics,4e+06
2012-2013,297,"Avery Bradley, PG",Boston Celtics,1630800
2012-2013,328,"Jared Sullinger, C",Boston Celtics,1306920
2012-2013,333,"Fab Melo, C",Boston Celtics,1254720
2012-2013,402,"Darko Milicic, C",Boston Celtics,854389
2012-2013,464,"Erik Jay Murphy, PF",Boston Celtics,490180
2012-2013,478,"Jamar Smith, SG",Boston Celtics,473604
2012-2013,493,"Terrence Williams, SG",Boston Celtics,244710
2012-2013,505,"Shavlik Randolph, PF",Boston Celtics,163500
2012-2013,506,"D.J. White, PF",Boston Celtics,156234
2013-2014,42,"Rajon Rondo, PG",Boston Celtics,11954545
2013-2014,53,"Gerald Wallace, SF",Boston Celtics,10105855
2013-2014,64,"Jeff Green, SF",Boston Celtics,8700000
2013-2014,94,"Brandon Bass, PF",Boston Celtics,6450000
2013-2014,117,"Keith Bogans, SG",Boston Celtics,5058198
2013-2014,208,"Avery Bradley, PG",Boston Celtics,2511432
2013-2014,232,"Vitor Faverani, C",Boston Celtics,2e+06
2013-2014,234,"Kelly Olynyk, C",Boston Celtics,1986360
2013-2014,272,"Jared Sullinger, C",Boston Celtics,1365720
2013-2014,361,"Chris Johnson, SF",Boston Celtics,320189
2013-2014,375,"Chris Babb, SG",Boston Celtics,77852
